candidate_id,rank,score,reasoning
CAND_0079387,1,0.6996,"AI Engineer with 6.9 years of experience in recommendation and retrieval systems, most recently at Microsoft. Has hands-on experience building recommendation, offline evaluation and search systems. Actively available with a strong recruiter response rate."
CAND_0010257,2,0.6908,"Senior Data Scientist with 6.5 years of experience in recommendation and retrieval systems, most recently at Google. Has hands-on experience building ranking, recommendation and retrieval systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0044855,3,0.6848,"Senior Data Scientist with 6.6 years of experience in recommendation and retrieval systems, most recently at Flipkart. Has hands-on experience building offline evaluation, recommendation and search systems. Recruiter response rate is 57%."
CAND_0080766,4,0.6790,"Staff Machine Learning Engineer with 8.8 years of experience in information retrieval and ranking systems, most recently at Salesforce. Has hands-on experience building recommendation, A/B testing and ranking systems. Recruiter response rate is 66%."
CAND_0018549,5,0.6781,"Recommendation Systems Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Uber. Has hands-on experience building ranking, search and recommendation systems. Actively available with a strong recruiter response rate."
CAND_0006567,6,0.6764,"Senior AI Engineer with 7.9 years of experience in recommendation and retrieval systems, most recently at Meta. Has hands-on experience building search, recommendation and A/B testing systems. Actively available with a strong recruiter response rate."
CAND_0077337,7,0.6680,"Staff Machine Learning Engineer with 7.0 years of experience in recommendation and retrieval systems, most recently at Paytm. Has hands-on experience building recommendation, ranking and A/B testing systems. Actively available with a strong recruiter response rate."
CAND_0037980,8,0.6676,"Senior Applied Scientist with 9.0 years of experience in recommendation and retrieval systems, most recently at Niramai. Has hands-on experience building ranking, recommendation and A/B testing systems. Active on the platform as of 2026-03-28 and open to work."
CAND_0039754,9,0.6660,"Senior Applied Scientist with 16.2 years of experience in recommendation and retrieval systems, most recently at Meta. Has hands-on experience building recommendation, ranking and search systems. Actively available with a strong recruiter response rate."
CAND_0028793,10,0.6623,"Search Engineer with 7.2 years of experience in recommendation and retrieval systems, most recently at Google. Has hands-on experience building search, offline evaluation and ranking systems. Active on the platform as of 2026-04-13 and open to work. Notice period of 120 days may slow hiring."
CAND_0041669,11,0.6485,"Recommendation Systems Engineer with 8.0 years of experience in recommendation and retrieval systems, most recently at CRED. Has hands-on experience building ranking, search and offline evaluation systems. Actively available with a strong recruiter response rate."
CAND_0068811,12,0.6463,"Applied ML Engineer with 8.0 years of experience in recommendation and retrieval systems, most recently at Freshworks. Has hands-on experience building recommendation, ranking and offline evaluation systems. Active on the platform as of 2026-05-21 and open to work."
CAND_0049896,13,0.6432,"Search Engineer with 7.3 years of experience in recommendation and retrieval systems, most recently at Unacademy. Has hands-on experience building offline evaluation, recommendation and retrieval systems. Active on the platform as of 2026-05-17 and open to work. Notice period of 90 days may slow hiring."
CAND_0083879,14,0.6396,"Machine Learning Engineer with 7.1 years of experience in recommendation and retrieval systems, most recently at Ola. Has hands-on experience building ranking, retrieval and search systems. Active on the platform as of 2026-04-17 and open to work."
CAND_0011687,15,0.6394,"Senior NLP Engineer with 7.8 years of experience in recommendation and retrieval systems, most recently at Niramai. Has hands-on experience building recommendation, ranking and A/B testing systems. Actively available with a strong recruiter response rate."
CAND_0047721,16,0.6347,"Senior Data Scientist with 7.0 years of experience in recommendation and retrieval systems, most recently at Microsoft. Has hands-on experience building recommendation, ranking and search systems. Recruiter response rate is 49%. Notice period of 90 days may slow hiring."
CAND_0046525,17,0.6345,"Senior Machine Learning Engineer with 6.1 years of experience in information retrieval and ranking systems, most recently at Genpact AI. Has hands-on experience building ranking, search and A/B testing systems. Actively available with a strong recruiter response rate."
CAND_0052682,18,0.6329,"NLP Engineer with 6.6 years of experience in recommendation and retrieval systems, most recently at Aganitha. Has hands-on experience building recommendation, offline evaluation and ranking systems. Actively available with a strong recruiter response rate."
CAND_0026532,19,0.6310,"Recommendation Systems Engineer with 4.8 years of experience in recommendation and retrieval systems, most recently at Zomato. Has hands-on experience building search, recommendation and retrieval systems. Active on the platform as of 2026-03-28 and open to work. Notice period of 90 days may slow hiring."
CAND_0031593,20,0.6299,"Search Engineer with 7.8 years of experience in recommendation and retrieval systems, most recently at Genpact AI. Has hands-on experience building ranking, search and offline evaluation systems. Active on the platform as of 2026-03-19 and open to work. Notice period of 90 days may slow hiring."
CAND_0008425,21,0.6263,"Senior NLP Engineer with 7.8 years of experience in recommendation and retrieval systems, most recently at Ola. Has hands-on experience building search, ranking and recommendation systems. Active on the platform as of 2026-04-25 and open to work. Notice period of 90 days may slow hiring."
CAND_0046064,22,0.6257,"Senior NLP Engineer with 8.9 years of experience in recommendation and retrieval systems, most recently at Salesforce. Has hands-on experience building ranking, offline evaluation and recommendation systems. Actively available with a strong recruiter response rate."
CAND_0060054,23,0.6205,"AI Engineer with 6.4 years of experience in recommendation and retrieval systems, most recently at Mad Street Den. Has hands-on experience building search, recommendation and ranking systems. Strong recruiter response rate (86%)."
CAND_0075249,24,0.6184,"Applied ML Engineer with 6.2 years of experience in recommendation and retrieval systems, most recently at Zomato. Has hands-on experience building recommendation, search and retrieval systems. Actively available with a strong recruiter response rate."
